start,end,tID,notes,TAG,TIME,X,Y,NBS,VARX,VARY,COVXY,SD,Timestamp,bird_id,date,long,lat,ID,gps_mean_x,gps_mean_y,n,error_dist
2020/08/21 17:05:00.752+00,2020/08/21 17:05:00.752+00,WP072,,31001001060,1598029500752,650524.108467311,5901739.37263907,"4",23.8949,49.7594,32.2404,11.7530889556746,2020/08/21 17:05:00.752+00,"1060",2020/08/21,5.25581254404995,53.2435569959627,14,650528.175175278,5901748.08845346,"14",9.61787576701858
2020/08/21 17:05:01.752+00,2020/08/21 17:05:01.752+00,WP072,,31001001060,1598029501752,650524.108467311,5901739.37263907,"4",23.4262,49.0871,31.6838,11.656796300871,2020/08/21 17:05:01.752+00,"1060",2020/08/21,5.25581254404995,53.2435569959627,14,650528.175175278,5901748.08845346,"14",9.61787576701858
2020/08/21 17:05:02.752+00,2020/08/21 17:05:02.752+00,WP072,,31001001060,1598029502752,650524.108467311,5901740.4071159,"5",15.3663,30.815,19.5493,9.23471169013955,2020/08/21 17:05:02.752+00,"1060",2020/08/21,5.25587675896783,53.2436190681926,14,650528.175175278,5901748.08845346,"14",8.69143603986207
2020/08/21 17:05:03.752+00,2020/08/21 17:05:03.752+00,WP072,,31001001060,1598029503752,650525.523645171,5901743.25680427,"5",15.7625,30.918,19.8264,9.29157144943739,2020/08/21 17:05:03.752+00,"1060",2020/08/21,5.25579913726786,53.2435665507914,14,650528.175175278,5901748.08845346,"14",5.51139236479977
2020/08/21 17:05:04.752+00,2020/08/21 17:05:04.752+00,WP072,,31001001060,1598029504752,650525.523645171,5901743.25680427,"5",16.086,31.9966,20.4499,9.43304828780177,2020/08/21 17:05:04.752+00,"1060",2020/08/21,5.25583628955214,53.243605158645,14,650528.175175278,5901748.08845346,"14",5.51139236479977
2020/08/21 17:05:05.752+00,2020/08/21 17:05:05.752+00,WP072,,31001001060,1598029505752,650525.523645171,5901743.25680427,"5",14.3027,29.9427,18.7066,9.03651481490514,2020/08/21 17:05:05.752+00,"1060",2020/08/21,5.25586755311366,53.2435908772028,14,650528.175175278,5901748.08845346,"14",5.51139236479977
2020/08/21 17:05:06.751+00,2020/08/21 17:05:06.751+00,WP072,,31001001060,1598029506751,650525.523645171,5901743.12016821,"5",11.3225,22.8497,13.8069,7.86040711413856,2020/08/21 17:05:06.751+00,"1060",2020/08/21,5.25580270116208,53.2435690508467,14,650528.175175278,5901748.08845346,"14",5.63156019877821
2020/08/21 17:05:07.751+00,2020/08/21 17:05:07.751+00,WP072,,31001001060,1598029507751,650525.309096813,5901743.11452613,"5",17.1631,37.5793,23.1839,10.055356781338,2020/08/21 17:05:07.751+00,"1060",2020/08/21,5.25584181408041,53.2435901359942,14,650528.175175278,5901748.08845346,"14",5.74058872171126
2020/08/21 17:05:08.751+00,2020/08/21 17:05:08.751+00,WP072,,31001001060,1598029508751,650524.212831379,5901742.28269347,"5",7.21136,16.5238,8.8005,6.4293203373296,2020/08/21 17:05:08.751+00,"1060",2020/08/21,5.25581548197281,53.2435831047431,14,650528.175175278,5901748.08845346,"14",7.02901261371503
2020/08/21 17:05:09.751+00,2020/08/21 17:05:09.751+00,WP072,,31001001060,1598029509751,650524.212831379,5901742.28269347,"5",11.4812,22.0017,13.7589,7.81029448868607,2020/08/21 17:05:09.751+00,"1060",2020/08/21,5.25583229020095,53.2435902655706,14,650528.175175278,5901748.08845346,"14",7.02901261371503
2020/08/21 17:05:10.751+00,2020/08/21 17:05:10.751+00,WP072,,31001001060,1598029510751,650523.270171632,5901741.98101316,"5",9.60505,19.3019,11.4714,7.20067705150009,2020/08/21 17:05:10.751+00,"1060",2020/08/21,5.25580122432546,53.2435806622451,14,650528.175175278,5901748.08845346,"14",7.8332552495098
2020/08/21 17:05:11.751+00,2020/08/21 17:05:11.751+00,WP072,,31001001060,1598029511751,650523.270171632,5901741.98101316,"5",10.8945,21.1391,12.9966,7.61753240885787,2020/08/21 17:05:11.751+00,"1060",2020/08/21,5.25580122432546,53.2435806622451,14,650528.175175278,5901748.08845346,"14",7.8332552495098
2020/08/21 17:05:12.751+00,2020/08/21 17:05:12.751+00,WP072,,31001001060,1598029512751,650523.270171632,5901741.98101316,"5",10.0827,20.8532,12.5513,7.48588672102377,2020/08/21 17:05:12.751+00,"1060",2020/08/21,5.25586876538309,53.2436179446213,14,650528.175175278,5901748.08845346,"14",7.8332552495098
2020/08/21 17:05:13.751+00,2020/08/21 17:05:13.751+00,WP072,,31001001060,1598029513751,650526.658952342,5901743.70347694,"5",13.0167,24.3616,15.6076,8.28211929399716,2020/08/21 17:05:13.751+00,"1060",2020/08/21,5.25579161715062,53.2435568701877,14,650528.175175278,5901748.08845346,"14",4.63971454737187
2020/08/21 17:05:14.751+00,2020/08/21 17:05:14.751+00,WP072,,31001001060,1598029514751,650526.658952342,5901743.70347694,"5",15.2337,28.1984,18.5111,8.96963209947877,2020/08/21 17:05:14.751+00,"1060",2020/08/21,5.25585732605252,53.2436287235332,14,650528.175175278,5901748.08845346,"14",4.63971454737187
2020/08/21 17:05:15.751+00,2020/08/21 17:05:15.751+00,WP072,,31001001060,1598029515751,650526.658952342,5901743.70347694,"5",14.8114,29.7061,18.9279,9.07597377695639,2020/08/21 17:05:15.751+00,"1060",2020/08/21,5.25585278083079,53.2435951729216,14,650528.175175278,5901748.08845346,"14",4.63971454737187
2020/08/21 17:05:16.751+00,2020/08/21 17:05:16.751+00,WP072,,31001001060,1598029516751,650525.33774726,5901742.21477145,"5",15.1441,28.3765,18.4982,8.97312654541325,2020/08/21 17:05:16.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:17.751+00,2020/08/21 17:05:17.751+00,WP072,,31001001060,1598029517751,650525.33774726,5901742.21477145,"5",14.9659,28.9941,18.7173,9.02189558795711,2020/08/21 17:05:17.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:18.751+00,2020/08/21 17:05:18.751+00,WP072,,31001001060,1598029518751,650525.33774726,5901742.21477145,"5",14.6226,28.5482,18.375,8.93984339907585,2020/08/21 17:05:18.751+00,"1060",2020/08/21,5.25583229400117,53.2435821757731,14,650528.175175278,5901748.08845346,"14",6.52312334593637
2020/08/21 17:05:19.751+00,2020/08/21 17:05:19.751+00,WP072,,31001001060,1598029519751,650525.33774726,5901742.21477145,"5",18.7713,30.7101,21.3381,9.59987499918619,2020/08/21 17:05:19.751+00,"1060",2020/08/21,5.25591957448664,53.2436277142815,14,650528.175175278,5901748.08845346,"14",6.52312334593637
